;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAI;                                            ATIVO IMOBILIZADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SISTEMA DE
CONFERÊNCIA
ON -LINE
03/2026";LOCALIZ.;NOME DO AMBIENTE;;;;;IMOB.;"Nº 
INVENTÁRIO";"DATA
INCORP.";DENOMINAÇÃO IMOBILIZADO;RESPONSÁVEL;STATUS/OCORRÊNCIA;TRANSFERÊNCIA;;DISPONIBILIDADE;;;;BAIXA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;"LOCAL
DESTINO";RESPONSÁVEL;AUTORIZ.;"DATA ENVIO 
P/GAF";"Nº DA
UNIDADE";ENTREPOSTO;AUTORIZ.;"DATA 
ENVIO 
P/DIRETOR";"PROCESSO 
Nº";;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10689645;1345536;18.02.2025;DESKTOP CORPORATIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10175616;1142270;31.05.2015;GAVETEIRO VOLANTE MALIBÚ DC1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10175617;1142271;31.05.2015;GAVETEIRO VOLANTE MALIBÚ DC1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10175625;1142279;31.05.2015;MESA C/TAMPO GOTA MALIBÚ DC1692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10175626;1142280;31.05.2015;MESA C/TAMPO GOTA MALIBÚ DC1692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10689649;1345540;18.02.2025;MONITOR CORPORATIVO C/CÂMERA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10595666;1243644;23.11.2021;NOTEBOOK ALTO DESEMPENHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10616938;1264622;26.10.2022;NOTEBOOK CORPORATIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10358442;1188233;01.08.2017;PROJETOR MULTIMÍDIA P/SALAS C/SUPORTE/EPSON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10271030;1174013;05.10.2016;TABLET ANDROID 9 POLEGADAS / MULTILASER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10260614;1136160;30.01.2015;ULTRABOOK DELL E7440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10586515;1234949;11.05.2020;ACCESS POINT PARA USO INDOOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10207088;1202268;28.02.2018;ARMÁRIO BAIXO MALIBU DC 1649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10207092;1202272;28.02.2018;ARMÁRIO BAIXO MALIBU DC 1649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10205192;1199651;28.02.2018;ARMÁRIO P/IMP LASER MALIBU DC 1655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10201341;1189465;31.08.2017;ARMÁRIO PASTA AZ MALIBU DC 1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10201342;1189466;31.08.2017;ARMÁRIO PASTA AZ MALIBU DC 1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10199483;1186518;31.08.2017;ARMÁRIO PASTA SUSPENSA MALIBU DC 1659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
